time_casa;time_visitante;total_gols_casa;total_gols_visitante;total_gols_jogo;total_escanteios_casa;total_escanteios_visitante;total_cartoes_amarelos_casa;total_cartoes_vermelhos_casa;total_cartoes_amarelos_visitante;total_cartoes_vermelhos_visitante;chutes_casa;chutes_visitanes;chutes_no_gol_casa;chutes_no_gol_visitante;chutes_fora_do_gol_casa;chutes_fora_do_gol_visitante;faltas_time_casa;faltas_time_visitante;posse_de_bola_casa;posse_de_bola_visitante;liga;qtd_torcedores;mes;dia;ano;key_home;key_away
icasa;americarn;1;1;2;13;4;1;0;5;1;21;9;10;5;11;4;10;15;50;50;brazilserie;1974;9;10;2013;icasa_bra;americarn_bra
abc;sportrecife;4;2;6;11;9;2;0;2;1;18;8;8;4;10;4;15;18;49;51;brazilcopa;2706;9;10;2013;abc_bra;sportrecife_bra
palmeiras;asa;3;0;3;7;3;1;0;4;0;16;9;6;3;10;6;14;26;50;50;southamerica;8699;9;10;2013;palmeiras_bra;asa_bra
asa;joinville;0;1;1;14;3;0;0;0;0;8;15;4;6;4;9;18;13;49;51;brazilserie;4188;9;13;2013;asa_bra;joinville_bra
parana;oeste;1;2;3;7;5;0;0;5;0;14;9;7;6;7;3;12;31;53;47;brazilcopa;6652;9;13;2013;parana_bra;oeste_bra
atleticogo;boa;3;1;4;3;10;1;0;4;0;8;10;4;5;4;5;13;24;49;51;southamerica;580;9;13;2013;atleticogo_bra;boa_bra
chapecoense;saocaetano;6;2;8;0;6;2;0;3;1;10;13;3;5;7;8;16;10;53;47;brazilserie;7583;9;14;2013;chapecoense_bra;saocaetano_bra
americamineiro;palmeiras;1;1;2;4;6;2;1;3;1;9;14;4;7;5;7;20;13;51;49;brazilserie;6431;9;14;2013;americamineiro_bra;palmeiras_bra
avai;icasa;3;1;4;14;0;3;0;5;0;13;8;7;0;6;8;18;30;50;50;brazilcopa;5226;9;14;2013;avai_bra;icasa_bra
ceara;abc;4;0;4;14;9;2;0;1;1;9;8;3;3;6;5;25;13;50;50;southamerica;7386;9;14;2013;ceara_bra;abc_bra
sportrecife;figueirense;1;0;1;6;3;4;1;3;1;9;10;7;6;2;4;31;22;53;47;brazilcopa;10671;9;14;2013;sportrecife_bra;figueirense_bra
americarn;paysandu;3;0;3;1;5;2;0;0;0;13;9;3;3;10;6;18;14;50;50;brazilcopa;2153;9;15;2013;americarn_bra;paysandu_bra
guaratingueta;bragantino;1;0;1;2;3;5;0;1;0;5;10;2;6;3;4;23;18;49;51;brazilserie;1761;9;15;2013;guaratingueta_bra;bragantino_bra
americamineiro;icasa;1;2;3;9;5;2;0;3;1;17;8;8;3;9;5;15;25;49;51;brazilserie;1114;9;17;2013;americamineiro_bra;icasa_bra
ceara;oeste;1;0;1;4;8;5;0;1;0;9;10;2;3;7;7;14;8;47;53;southamerica;8096;9;17;2013;ceara_bra;oeste_bra
atleticogo;saocaetano;1;1;2;4;3;2;0;2;0;6;8;3;5;3;3;29;22;48;52;southamerica;1369;9;17;2013;atleticogo_bra;saocaetano_bra
sportrecife;guaratingueta;1;0;1;8;1;0;0;2;1;20;5;8;2;12;3;24;24;51;49;brazilcopa;10389;9;17;2013;sportrecife_bra;guaratingueta_bra
asa;boa;0;1;1;10;9;5;0;5;0;16;8;5;6;11;2;17;17;53;47;brazilserie;3709;9;18;2013;asa_bra;boa_bra
avai;palmeiras;2;4;6;1;6;4;0;4;0;7;13;4;6;3;7;25;15;52;48;brazilcopa;7425;9;18;2013;avai_bra;palmeiras_bra
americarn;joinville;1;1;2;7;12;2;0;3;0;14;9;8;3;6;6;19;12;49;51;brazilcopa;1767;9;18;2013;americarn_bra;joinville_bra
parana;paysandu;3;1;4;2;5;1;0;2;0;12;15;5;5;7;10;23;11;49;51;brazilcopa;3934;9;18;2013;parana_bra;paysandu_bra
bragantino;abc;2;1;3;1;6;3;0;5;2;17;15;7;6;10;9;17;35;53;47;brazilpaulista;732;9;18;2013;bragantino_bra;abc_bra
oeste;americamineiro;1;1;2;9;4;6;0;3;0;8;12;4;6;4;6;20;33;52;48;brazilserie;2648;9;20;2013;oeste_bra;americamineiro_bra
icasa;asa;5;2;7;4;4;2;0;3;0;12;6;4;2;8;4;25;14;47;53;brazilserie;2554;9;20;2013;icasa_bra;asa_bra
saocaetano;bragantino;0;1;1;10;2;1;1;2;0;14;13;3;4;11;9;19;27;47;53;brazilserie;400;9;20;2013;saocaetano_bra;bragantino_bra
joinville;avai;1;2;3;12;1;2;0;3;1;12;7;7;4;5;3;19;16;48;52;brazilserie;7708;9;21;2013;joinville_bra;avai_bra
boa;ceara;1;2;3;4;11;1;0;4;0;10;12;5;3;5;9;10;25;47;53;brazilserie;964;9;21;2013;boa_bra;ceara_bra
figueirense;parana;1;0;1;5;9;1;0;2;0;7;11;4;7;3;4;20;24;53;47;southamerica;2342;9;21;2013;figueirense_bra;parana_bra
abc;chapecoense;2;0;2;5;5;5;0;2;0;13;10;4;3;9;7;18;13;50;50;brazilcopa;4003;9;21;2013;abc_bra;chapecoense_bra
palmeiras;sportrecife;2;1;3;5;10;1;0;4;1;13;12;4;5;9;7;14;22;51;49;southamerica;21054;9;21;2013;palmeiras_bra;sportrecife_bra
guaratingueta;americarn;2;0;2;3;7;2;0;3;1;10;8;2;3;8;5;32;19;49;51;brazilserie;1392;9;22;2013;guaratingueta_bra;americarn_bra
paysandu;atleticogo;0;0;0;8;3;4;0;3;0;12;11;3;5;9;6;20;31;48;52;brazilcopa;4419;9;22;2013;paysandu_bra;atleticogo_bra
figueirense;ceara;2;1;3;7;3;3;0;2;1;13;4;6;2;7;2;12;25;53;47;southamerica;3162;9;24;2013;figueirense_bra;ceara_bra
paysandu;chapecoense;2;1;3;5;7;2;0;3;1;13;7;4;3;9;4;19;20;52;48;brazilcopa;5351;9;24;2013;paysandu_bra;chapecoense_bra
joinville;guaratingueta;1;1;2;7;5;1;0;7;0;16;12;5;6;11;6;19;32;53;47;brazilserie;8925;9;27;2013;joinville_bra;guaratingueta_bra
saocaetano;oeste;2;2;4;2;4;3;0;5;1;9;7;4;3;5;4;23;24;47;53;brazilserie;397;9;27;2013;saocaetano_bra;oeste_bra
americamineiro;avai;0;0;0;8;3;1;0;3;1;14;7;6;5;8;2;26;15;53;47;brazilserie;1856;9;28;2013;americamineiro_bra;avai_bra
icasa;atleticogo;0;0;0;7;4;3;0;4;0;16;12;7;7;9;5;20;18;49;51;brazilserie;3755;9;28;2013;icasa_bra;atleticogo_bra
palmeiras;americarn;0;0;0;11;1;2;0;4;0;16;7;8;3;8;4;12;17;52;48;southamerica;17534;9;28;2013;palmeiras_bra;americarn_bra
bragantino;sportrecife;1;2;3;7;4;2;0;3;1;10;5;5;4;5;1;22;31;51;49;brazilpaulista;1125;9;28;2013;bragantino_bra;sportrecife_bra
asa;parana;1;4;5;9;2;2;1;4;0;13;7;7;3;6;4;18;27;51;49;brazilserie;4481;9;29;2013;asa_bra;parana_bra
abc;boa;3;1;4;15;3;5;0;4;0;10;9;6;3;4;6;25;23;48;52;brazilcopa;4714;9;29;2013;abc_bra;boa_bra
